path,orig_folder,proposed_class,final_class,confidence,reason,sr,channels,duration_s,subtype,error
Marine Animals\61025001.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,3.53,PCM_16,
Marine Animals\61025002.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,3.53,PCM_16,
Marine Animals\61025003.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,3.53,PCM_16,
Marine Animals\61025004.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,1.76,PCM_16,
Marine Animals\61025006.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,1.76,PCM_16,
Marine Animals\61025007.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,1.76,PCM_16,
Marine Animals\61025008.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,3.53,PCM_16,
Marine Animals\61025009.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,2.65,PCM_16,
Marine Animals\6102500A.wav,Marine Animals,marine_animal,marine_animal,high,folder label,43900,1,3.53,PCM_16,
Marine Animals\6102500B.wav,Marine Animals,marine_animal,marine_animal,high,folder label,60600,1,1.22,PCM_16,
Marine Animals\63029001.wav,Marine Animals,marine_animal,marine_animal,high,folder label,40960,1,0.63,PCM_16,
Marine Animals\63029002.wav,Marine Animals,marine_animal,marine_animal,high,folder label,40960,1,0.55,PCM_16,
Marine Animals\74008001.wav,Marine Animals,marine_animal,marine_animal,high,folder label,320,1,192.0,PCM_16,
Marine Animals\74008002.wav,Marine Animals,marine_animal,marine_animal,high,folder label,320,1,144.0,PCM_16,
Marine Animals\79002004.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.42,PCM_16,
Marine Animals\79002007.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.42,PCM_16,
Marine Animals\7900200K.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.42,PCM_16,
Marine Animals\7900200L.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.42,PCM_16,
Marine Animals\7900200Q.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,2.77,PCM_16,
Marine Animals\7900200R.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.91,PCM_16,
Marine Animals\7900200S.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.85,PCM_16,
Marine Animals\7900200T.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,3.95,PCM_16,
Marine Animals\7900200Y.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.82,PCM_16,
Marine Animals\79002010.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.76,PCM_16,
Marine Animals\79002012.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.76,PCM_16,
Marine Animals\81012003.wav,Marine Animals,marine_animal,marine_animal,high,folder label,14900,1,2.51,PCM_16,
Marine Animals\81015006.wav,Marine Animals,marine_animal,marine_animal,high,folder label,14900,1,2.71,PCM_16,
Marine Animals\81015007.wav,Marine Animals,marine_animal,marine_animal,high,folder label,14900,1,2.14,PCM_16,
Marine Animals\83002002.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.42,PCM_16,
Marine Animals\8300200A.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,2.06,PCM_16,
Marine Animals\8300200B.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,1.41,PCM_16,
Marine Animals\8300200C.wav,Marine Animals,marine_animal,marine_animal,high,folder label,5120,1,2.31,PCM_16,
Marine Animals\85013003.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,1.42,PCM_16,
Marine Animals\95003008.wav,Marine Animals,marine_animal,marine_animal,high,folder label,80000,1,2.25,PCM_16,
Marine Animals\95003009.wav,Marine Animals,marine_animal,marine_animal,high,folder label,80000,1,1.62,PCM_16,
Marine Animals\99001001.flac,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,4.97,PCM_16,
Marine Animals\99001002.flac,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,3.84,PCM_16,
Marine Animals\99001003.flac,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,3.84,PCM_16,
Marine Animals\99001004.flac,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,3.84,PCM_16,
Marine Animals\99001005.flac,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,2.56,PCM_16,
Marine Animals\99001006.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,7.53,PCM_16,
Marine Animals\99001007.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,3.36,PCM_16,
Marine Animals\99001008.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,9.41,PCM_16,
Marine Animals\99001009.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,16.56,PCM_16,
Marine Animals\9900100A.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,20.35,PCM_16,
Marine Animals\99002001.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,3.39,PCM_16,
Marine Animals\99002002.flac,Marine Animals,marine_animal,marine_animal,high,folder label,3400,1,2.02,PCM_16,
Natural Sounds\1.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,37.0,FLOAT,
Natural Sounds\10.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,30.0,FLOAT,
Natural Sounds\103.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,199.0,FLOAT,
Natural Sounds\110.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,202.0,FLOAT,
Natural Sounds\12.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,33.0,FLOAT,
Natural Sounds\13.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,157.0,FLOAT,
Natural Sounds\14.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,25.0,FLOAT,
Natural Sounds\15.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,187.0,FLOAT,
Natural Sounds\16.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,11.0,FLOAT,
Natural Sounds\17.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,26.0,FLOAT,
Natural Sounds\18.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,66.0,FLOAT,
Natural Sounds\19.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,14.0,FLOAT,
Natural Sounds\2.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,150.0,FLOAT,
Natural Sounds\20.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,104.0,FLOAT,
Natural Sounds\21.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,16.0,FLOAT,
Natural Sounds\23.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,130.0,FLOAT,
Natural Sounds\24.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,21.0,FLOAT,
Natural Sounds\27.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,196.0,FLOAT,
Natural Sounds\29.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,109.0,FLOAT,
Natural Sounds\30.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,33.0,FLOAT,
Natural Sounds\31.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,16.0,FLOAT,
Natural Sounds\32.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,38.0,FLOAT,
Natural Sounds\33.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,16.0,FLOAT,
Natural Sounds\35.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,16.0,FLOAT,
Natural Sounds\37.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,162.0,FLOAT,
Natural Sounds\38.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,174.0,FLOAT,
Natural Sounds\39.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,129.0,FLOAT,
Natural Sounds\4.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,204.0,FLOAT,
Natural Sounds\40.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,200.0,FLOAT,
Natural Sounds\41.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,44.0,FLOAT,
Natural Sounds\42.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,70.0,FLOAT,
Natural Sounds\43.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,28.0,FLOAT,
Natural Sounds\44.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,200.0,FLOAT,
Natural Sounds\47.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,21.0,FLOAT,
Natural Sounds\48.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,37.0,FLOAT,
Natural Sounds\49.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,38.0,FLOAT,
Natural Sounds\5.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,47.0,FLOAT,
Natural Sounds\50.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,10.0,FLOAT,
Natural Sounds\6.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,172.0,FLOAT,
Natural Sounds\62.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,198.0,FLOAT,
Natural Sounds\69.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,184.0,FLOAT,
Natural Sounds\78.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,194.0,FLOAT,
Natural Sounds\8.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,44.0,FLOAT,
Natural Sounds\9.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,18.0,FLOAT,
Natural Sounds\96.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,199.0,FLOAT,
Natural Sounds\99.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,186.0,FLOAT,
Natural Sounds\Ice-Calving-AWI-Van-Opzeeland-03-ice-calving-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,32000,1,25.94,MPEG_LAYER_III,
Natural Sounds\Ice-singing-AWI-Van-Opzeeland-02-ice-singing-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,8000,1,29.38,MPEG_LAYER_III,
Natural Sounds\in1.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,52734,1,301.36,PCM_24,
Natural Sounds\in2.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,52734,1,99.93,PCM_24,
Natural Sounds\in3.wav,Natural Sounds,natural_sound,natural_sound,high,folder label,52734,1,53.64,PCM_24,
Natural Sounds\Quake-NOAA-Kline-01-amplified-LPfilter200-earthquake-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,8000,1,83.11,MPEG_LAYER_III,
Natural Sounds\Quiet-AWI-Van-Opzeeland-02-quiet-ocean-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,16000,1,19.65,MPEG_LAYER_III,
Natural Sounds\Rain-GRNMS-NOAA-PAGroup-02-rain-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,48000,1,5.0,MPEG_LAYER_III,
Natural Sounds\Sdsc01-HourlySancSdCompiled-GRNMS-NOAA-PAGroup-26-amplified-soundscape-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,48000,1,60.0,MPEG_LAYER_III,
Natural Sounds\Storm-Meno-Fish-Multisound-NOAA-PAGroup-01-amplified-thunderstorm-clip.mp3,Natural Sounds,natural_sound,natural_sound,high,folder label,48000,1,8.83,MPEG_LAYER_III,
Human made Objects\148002__loafdv__large-earthquake.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',44100,2,23.95,PCM_32,
Human made Objects\163494__tompallant__wood_metal_impact_shake_earthquake_banging.wav,Human made Objects,other_anthropogenic,other_anthropogenic,medium,filename keyword 'metal',48000,1,68.35,PCM_24,
Human made Objects\165998__vflefevre__rain-gutter-spb-041.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',96000,2,61.34,PCM_16,
Human made Objects\19994__marec__tremor.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'tremor',44100,2,46.55,PCM_16,
Human made Objects\217235__roofusj__rain-01.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',96000,2,179.04,PCM_16,
Human made Objects\248343__ryanconway__earthquake.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',44100,2,24.28,PCM_16,
Human made Objects\316895__alexkandrell__heavy_rain_thunder_uk_cambridge_short.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',48000,2,11.18,PCM_24,
Human made Objects\401275__inspectorj__rain-moderate-c.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',44100,2,60.12,PCM_16,
Human made Objects\423120__ogsoundfx__earthquake-1-big.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',48000,2,46.0,PCM_24,
Human made Objects\49646__phantaglyph__wes-earthquake-4-16-95.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',44100,1,42.95,PCM_16,
Human made Objects\50056__vibe_crc__rain_session_10sec_2007.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',44100,1,10.2,PCM_24,
Human made Objects\50060__vibe_crc__rain_session_27sec_2006.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',44100,1,27.79,FLOAT,
Human made Objects\514381__zatar__earthquake3.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',44100,2,65.96,PCM_16,
Human made Objects\547927__greysound__cooperstown-log-cabin-in-rain-excerpt-1-rx.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',48000,2,72.69,PCM_24,
Human made Objects\669487__xkeril__rain-on-roofs.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',48000,2,54.48,PCM_24,
Human made Objects\680510__audiodaprati__earthquake-2023.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',48000,2,32.23,PCM_24,
Human made Objects\719550__betostado99__geophone-test.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'geophone',48000,2,12.2,FLOAT,
Human made Objects\719551__betostado99__earthquake-rumble.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',48000,2,14.59,FLOAT,
Human made Objects\719865__q__rumble-1.wav,Human made Objects,other_anthropogenic,other_anthropogenic,low,no keyword match — review by listening,48000,2,4.81,PCM_16,
Human made Objects\727279__logicmoon__earthquake.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'earthquake',44100,2,93.0,PCM_24,
Human made Objects\729214__techspiredminds__stonefall3.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'stonefall',44100,1,1.24,PCM_16,
Human made Objects\752142__newlocknew__dsgnrmbl_steady-versatile-rumble-12_em.wav,Human made Objects,other_anthropogenic,other_anthropogenic,low,no keyword match — review by listening,48000,2,13.2,PCM_16,
Human made Objects\768871__gustavo_c__raining_inside.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',44100,1,26.5,PCM_16,
Human made Objects\818836__wavewire__lofi_rocksgrinding_reverberated-01.wav,Human made Objects,other_anthropogenic,other_anthropogenic,low,no keyword match — review by listening,44100,2,5.38,PCM_16,
Human made Objects\rain1.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',96000,2,29.0,FLOAT,
Human made Objects\rain2.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',96000,2,35.03,FLOAT,
Human made Objects\rain3.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',52734,1,120.0,PCM_24,
Human made Objects\rain4.wav,Human made Objects,natural_sound,natural_sound,high,filename keyword 'rain',44100,2,126.96,FLOAT,
Human made Objects\volcano1.mp3,Human made Objects,natural_sound,natural_sound,high,filename keyword 'volcano',48000,2,277.04,MPEG_LAYER_III,
Human made Objects\volcano2.mp3,Human made Objects,natural_sound,natural_sound,high,filename keyword 'volcano',48000,2,10.35,MPEG_LAYER_III,
Cargo dataset\103.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,199.0,FLOAT,
Cargo dataset\110.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,202.0,FLOAT,
Cargo dataset\15.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,187.0,FLOAT,
Cargo dataset\27.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,196.0,FLOAT,
Cargo dataset\38.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,196.0,FLOAT,
Cargo dataset\41.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,183.0,FLOAT,
Cargo dataset\44.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,200.0,FLOAT,
Cargo dataset\62.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,198.0,FLOAT,
Cargo dataset\69.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,184.0,FLOAT,
Cargo dataset\78.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,194.0,FLOAT,
Cargo dataset\96.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,199.0,FLOAT,
Cargo dataset\99.wav,Cargo dataset,vessel,vessel,high,folder label,32000,1,186.0,FLOAT,
Tanker ds\10.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,30.0,FLOAT,
Tanker ds\12.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,33.0,FLOAT,
Tanker ds\13.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,157.0,FLOAT,
Tanker ds\14.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,25.0,FLOAT,
Tanker ds\18.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,66.0,FLOAT,
Tanker ds\19.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,14.0,FLOAT,
Tanker ds\2.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,150.0,FLOAT,
Tanker ds\20.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,104.0,FLOAT,
Tanker ds\21.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,16.0,FLOAT,
Tanker ds\24.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,21.0,FLOAT,
Tanker ds\29.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,109.0,FLOAT,
Tanker ds\30.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,33.0,FLOAT,
Tanker ds\32.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,38.0,FLOAT,
Tanker ds\33.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,16.0,FLOAT,
Tanker ds\35.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,16.0,FLOAT,
Tanker ds\38.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,174.0,FLOAT,
Tanker ds\39.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,129.0,FLOAT,
Tanker ds\41.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,44.0,FLOAT,
Tanker ds\42.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,70.0,FLOAT,
Tanker ds\43.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,28.0,FLOAT,
Tanker ds\47.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,21.0,FLOAT,
Tanker ds\48.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,37.0,FLOAT,
Tanker ds\49.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,38.0,FLOAT,
Tanker ds\5.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,47.0,FLOAT,
Tanker ds\50.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,10.0,FLOAT,
Tanker ds\6.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,172.0,FLOAT,
Tanker ds\8.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,44.0,FLOAT,
Tanker ds\9.wav,Tanker ds,vessel,vessel,high,folder label,32000,1,18.0,FLOAT,
Tug ds\40.wav,Tug ds,vessel,vessel,high,folder label,32000,1,200.0,FLOAT,
Tug ds\49.wav,Tug ds,vessel,vessel,high,folder label,32000,1,190.0,FLOAT,
Tug ds\9.wav,Tug ds,vessel,vessel,high,folder label,32000,1,203.0,FLOAT,
passengership ds\1.wav,passengership ds,vessel,vessel,high,folder label,32000,1,37.0,FLOAT,
passengership ds\12.wav,passengership ds,vessel,vessel,high,folder label,32000,1,18.0,FLOAT,
passengership ds\14.wav,passengership ds,vessel,vessel,high,folder label,32000,1,48.0,FLOAT,
passengership ds\16.wav,passengership ds,vessel,vessel,high,folder label,32000,1,11.0,FLOAT,
passengership ds\17.wav,passengership ds,vessel,vessel,high,folder label,32000,1,26.0,FLOAT,
passengership ds\23.wav,passengership ds,vessel,vessel,high,folder label,32000,1,130.0,FLOAT,
passengership ds\27 (1).wav,passengership ds,vessel,vessel,high,folder label,32000,1,33.0,FLOAT,
passengership ds\29.wav,passengership ds,vessel,vessel,high,folder label,32000,1,36.0,FLOAT,
passengership ds\30.wav,passengership ds,vessel,vessel,high,folder label,32000,1,6.0,FLOAT,
passengership ds\31.wav,passengership ds,vessel,vessel,high,folder label,32000,1,16.0,FLOAT,
passengership ds\32.wav,passengership ds,vessel,vessel,high,folder label,32000,1,54.0,FLOAT,
passengership ds\33.wav,passengership ds,vessel,vessel,high,folder label,32000,1,112.0,FLOAT,
passengership ds\37.wav,passengership ds,vessel,vessel,high,folder label,32000,1,162.0,FLOAT,
passengership ds\4.wav,passengership ds,vessel,vessel,high,folder label,32000,1,204.0,FLOAT,
passengership ds\41 (1).wav,passengership ds,vessel,vessel,high,folder label,32000,1,23.0,FLOAT,
passengership ds\5.wav,passengership ds,vessel,vessel,high,folder label,32000,1,14.0,FLOAT,
passengership ds\50.wav,passengership ds,vessel,vessel,high,folder label,32000,1,163.0,FLOAT,
passengership ds\6.wav,passengership ds,vessel,vessel,high,folder label,32000,1,30.0,FLOAT,
passengership ds\8.wav,passengership ds,vessel,vessel,high,folder label,32000,1,12.0,FLOAT,
passengership ds\9.wav,passengership ds,vessel,vessel,high,folder label,32000,1,11.0,FLOAT,
other_anthropogenic\20210205-sanctsound-ci01-01-snappingshrimp-20181101t080448.wav,other_anthropogenic,marine_animal,marine_animal,medium,folder says other_anthropogenic but filename keyword 'snapping',32000,1,6.09,PCM_16,
other_anthropogenic\20210205-sanctsound-ci01-03-dolphins-20190904t064203z.wav,other_anthropogenic,marine_animal,marine_animal,medium,folder says other_anthropogenic but filename keyword 'dolphin',48000,1,60.0,PCM_16,
other_anthropogenic\20210205-sanctsound-hi01-01-hwsong-20190216t045823z.wav,other_anthropogenic,marine_animal,marine_animal,medium,folder says other_anthropogenic but filename keyword 'hwsong',44100,1,60.94,PCM_16,
other_anthropogenic\Echo-ping-SBNMS-NOAA-PAGroup-01-amplified-echosounder-clip.mp3,other_anthropogenic,other_anthropogenic,other_anthropogenic,high,folder label,8000,1,2.25,MPEG_LAYER_III,
other_anthropogenic\Pile-driving-high-level-MarthasVineyardFerryTerminal-NOAA-PAGroup-02-Rowell-pile-driving-clip.mp3,other_anthropogenic,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,30.0,MPEG_LAYER_III,
other_anthropogenic\Seis-pulse-GuadeloupeWest-NOAA-PAGroup-01-amplified-seismic-clip (1).mp3,other_anthropogenic,other_anthropogenic,other_anthropogenic,high,folder label,8000,1,69.97,MPEG_LAYER_III,
other_anthropogenic\Vess-05-large-vessel-clip.mp3,other_anthropogenic,vessel,vessel,medium,folder says other_anthropogenic but filename keyword 'vessel',11025,1,300.0,MPEG_LAYER_III,
other_anthropogenic\Vess-GRNMS-NOAA-PAGroup-08-vessel-clip.mp3,other_anthropogenic,vessel,vessel,medium,folder says other_anthropogenic but filename keyword 'vessel',48000,1,5.0,MPEG_LAYER_III,
anchor_chain\201169__phonoflora__sukhapha-anchor-chain.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,53.06,PCM_16,
anchor_chain\251555__waveadventurer__r05_0247.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,32.96,PCM_16,
anchor_chain\251556__waveadventurer__r05_0242.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,30.49,PCM_16,
anchor_chain\347837__fennelliott__anchor-and-chain.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44000,2,27.9,PCM_16,
anchor_chain\435670__byjoshberry__anchor-chain.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,96000,1,34.43,PCM_24,
anchor_chain\61685__benboncan__anchor-chain.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,30.43,PCM_16,
anchor_chain\61688__benboncan__anchor-chain-2.wav,anchor_chain,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,19.81,PCM_16,
hydrophone_scubaDiving\116656__ben_jamin0__scuba-tanks-breathing-dive.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,13.44,PCM_16,
hydrophone_scubaDiving\156011__hdvideoguy__scubadiving_01.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,44.44,PCM_24,
